Epochs: 2980/100000 | Avg reward: -33.597024 | Best reward: -6.032583
Epochs: 2990/100000 | Avg reward: -24.449320 | Best reward: -6.032583
Epochs: 3000/100000 | Avg reward: -59.523056 | Best reward: -6.032583
Epochs: 3010/100000 | Avg reward: -44.515322 | Best reward: -6.032583
Epochs: 3020/100000 | Avg reward: -24.356468 | Best reward: -6.032583
Epochs: 3030/100000 | Avg reward: -17.178766 | Best reward: -6.032583
Epochs: 3040/100000 | Avg reward: -54.191560 | Best reward: -4.386521
Epochs: 3050/100000 | Avg reward: -34.380356 | Best reward: -4.386521
Epochs: 3060/100000 | Avg reward: -33.882658 | Best reward: -4.386521
Epochs: 3070/100000 | Avg reward: -24.293333 | Best reward: -4.386521
Epochs: 3080/100000 | Avg reward: -30.133261 | Best reward: -4.386521
Epochs: 3090/100000 | Avg reward: -28.942201 | Best reward: -4.386521
Epochs: 3100/100000 | Avg reward: -39.407733 | Best reward: -4.386521
Epochs: 3110/100000 | Avg reward: -47.178923 | Best reward: -4.386521
Epochs: 3120/100000 | Avg reward: -47.323232 | Best reward: -4.386521
Epochs: 3130/100000 | Avg reward: -75.310840 | Best reward: -4.386521
Epochs: 3140/100000 | Avg reward: -59.058107 | Best reward: -4.386521
Epochs: 3150/100000 | Avg reward: -19.777354 | Best reward: -4.386521
Epochs: 3160/100000 | Avg reward: -26.562942 | Best reward: -4.386521
Epochs: 3170/100000 | Avg reward: -33.106649 | Best reward: -4.386521
Epochs: 3180/100000 | Avg reward: -48.445382 | Best reward: -4.386521
Epochs: 3190/100000 | Avg reward: -25.842404 | Best reward: -4.386521
Epochs: 3200/100000 | Avg reward: -7.996389 | Best reward: -4.386521
Epochs: 3210/100000 | Avg reward: -15.169849 | Best reward: -4.386521
Epochs: 3220/100000 | Avg reward: -30.319812 | Best reward: -4.386521
Epochs: 3230/100000 | Avg reward: -69.745086 | Best reward: -4.386521
Epochs: 3240/100000 | Avg reward: -40.006764 | Best reward: -4.386521
Epochs: 3250/100000 | Avg reward: -38.456390 | Best reward: -4.386521
Epochs: 3260/100000 | Avg reward: -36.123777 | Best reward: -4.386521
Epochs: 3270/100000 | Avg reward: -44.032078 | Best reward: -4.386521
Epochs: 3280/100000 | Avg reward: -27.531483 | Best reward: -4.386521
Epochs: 3290/100000 | Avg reward: -21.287371 | Best reward: -4.386521
Epochs: 3300/100000 | Avg reward: -35.354646 | Best reward: -4.386521
Epochs: 3310/100000 | Avg reward: -21.494880 | Best reward: -4.386521
Epochs: 3320/100000 | Avg reward: -52.613301 | Best reward: -4.386521
Epochs: 3330/100000 | Avg reward: -79.604662 | Best reward: -4.386521
Epochs: 3340/100000 | Avg reward: -68.811487 | Best reward: -4.386521
Epochs: 3350/100000 | Avg reward: -50.967641 | Best reward: -4.386521
Epochs: 3360/100000 | Avg reward: -31.999054 | Best reward: -4.386521
Epochs: 3370/100000 | Avg reward: -63.758459 | Best reward: -4.386521
Epochs: 3380/100000 | Avg reward: -75.514038 | Best reward: -4.386521
Epochs: 3390/100000 | Avg reward: -50.813804 | Best reward: -4.386521
Epochs: 3400/100000 | Avg reward: -55.997028 | Best reward: -4.386521
Epochs: 3410/100000 | Avg reward: -36.261634 | Best reward: -4.386521
Epochs: 3420/100000 | Avg reward: -15.191213 | Best reward: -4.386521
Epochs: 3430/100000 | Avg reward: -20.544888 | Best reward: -4.386521
Epochs: 3440/100000 | Avg reward: -97.643391 | Best reward: -4.386521
Epochs: 3450/100000 | Avg reward: -69.877556 | Best reward: -4.386521
Epochs: 3460/100000 | Avg reward: -62.386010 | Best reward: -4.386521
Epochs: 3470/100000 | Avg reward: -50.757500 | Best reward: -4.386521
Epochs: 3480/100000 | Avg reward: -75.002807 | Best reward: -4.386521
Epochs: 3490/100000 | Avg reward: -15.999903 | Best reward: -4.386521
Epochs: 3500/100000 | Avg reward: -15.453305 | Best reward: -0.825113
Epochs: 3510/100000 | Avg reward: -22.565578 | Best reward: -0.825113
Epochs: 3520/100000 | Avg reward: -31.017109 | Best reward: -0.825113
Epochs: 3530/100000 | Avg reward: -13.691980 | Best reward: -0.825113
Epochs: 3540/100000 | Avg reward: -5.634269 | Best reward: 9.323082
Epochs: 3550/100000 | Avg reward: 2.251469 | Best reward: 9.323082
Epochs: 3560/100000 | Avg reward: -22.124542 | Best reward: 9.323082
Epochs: 3570/100000 | Avg reward: -13.893460 | Best reward: 9.323082
Epochs: 3580/100000 | Avg reward: -3.933306 | Best reward: 9.323082
Epochs: 3590/100000 | Avg reward: -17.973322 | Best reward: 9.323082
Epochs: 3600/100000 | Avg reward: 4.342939 | Best reward: 10.411878
Epochs: 3610/100000 | Avg reward: 6.606955 | Best reward: 14.590333
Epochs: 3620/100000 | Avg reward: 17.238081 | Best reward: 24.838722
Epochs: 3630/100000 | Avg reward: 5.849424 | Best reward: 24.838722
Epochs: 3640/100000 | Avg reward: -21.031510 | Best reward: 24.838722
Epochs: 3650/100000 | Avg reward: -21.092618 | Best reward: 24.838722
Epochs: 3660/100000 | Avg reward: -12.598490 | Best reward: 24.838722
Epochs: 3670/100000 | Avg reward: 2.174093 | Best reward: 24.838722
Epochs: 3680/100000 | Avg reward: -10.256887 | Best reward: 24.838722
Epochs: 3690/100000 | Avg reward: -5.015548 | Best reward: 24.838722
Epochs: 3700/100000 | Avg reward: 1.293491 | Best reward: 24.838722
Epochs: 3710/100000 | Avg reward: -15.456543 | Best reward: 24.838722
Epochs: 3720/100000 | Avg reward: 0.148030 | Best reward: 24.838722
Epochs: 3730/100000 | Avg reward: -0.253084 | Best reward: 24.838722
Epochs: 3740/100000 | Avg reward: -3.818201 | Best reward: 24.838722
Epochs: 3750/100000 | Avg reward: -5.403238 | Best reward: 24.838722
Epochs: 3760/100000 | Avg reward: 14.798399 | Best reward: 24.838722
Epochs: 3770/100000 | Avg reward: 10.425809 | Best reward: 24.838722
Epochs: 3780/100000 | Avg reward: 16.169703 | Best reward: 24.838722
Epochs: 3790/100000 | Avg reward: -2.998207 | Best reward: 24.838722
Epochs: 3800/100000 | Avg reward: -19.079011 | Best reward: 24.838722
