Episode: 1670 | Steps: 3671858/10000000 | Avg reward: 32.600000 | loss: 0.204871 | Best: 48.500000
Episode: 1680 | Steps: 3689848/10000000 | Avg reward: 36.300000 | loss: 0.251770 | Best: 48.500000
Episode: 1690 | Steps: 3708355/10000000 | Avg reward: 35.200000 | loss: 0.086339 | Best: 48.500000
Episode: 1700 | Steps: 3726529/10000000 | Avg reward: 35.900000 | loss: 0.106867 | Best: 48.500000
Episode: 1710 | Steps: 3743763/10000000 | Avg reward: 40.700000 | loss: 0.145666 | Best: 48.500000
Episode: 1720 | Steps: 3762174/10000000 | Avg reward: 43.000000 | loss: 0.199924 | Best: 48.500000
Episode: 1730 | Steps: 3781614/10000000 | Avg reward: 35.000000 | loss: 0.076830 | Best: 48.500000
Episode: 1740 | Steps: 3800806/10000000 | Avg reward: 28.100000 | loss: 0.065236 | Best: 48.500000
Episode: 1750 | Steps: 3820620/10000000 | Avg reward: 33.100000 | loss: 0.152369 | Best: 48.500000
Episode: 1760 | Steps: 3841136/10000000 | Avg reward: 30.300000 | loss: 0.093955 | Best: 48.500000
Episode: 1770 | Steps: 3860594/10000000 | Avg reward: 34.900000 | loss: 0.103198 | Best: 48.500000
Episode: 1780 | Steps: 3879683/10000000 | Avg reward: 40.500000 | loss: 0.133087 | Best: 48.500000
Episode: 1790 | Steps: 3898659/10000000 | Avg reward: 38.800000 | loss: 0.498848 | Best: 48.500000
Episode: 1800 | Steps: 3918985/10000000 | Avg reward: 37.500000 | loss: 0.184819 | Best: 48.500000
Episode: 1810 | Steps: 3936816/10000000 | Avg reward: 41.900000 | loss: 0.238736 | Best: 48.500000
Episode: 1820 | Steps: 3955435/10000000 | Avg reward: 38.100000 | loss: 0.156686 | Best: 48.500000
Episode: 1830 | Steps: 3976304/10000000 | Avg reward: 31.900000 | loss: 0.070968 | Best: 48.500000
Episode: 1840 | Steps: 3994271/10000000 | Avg reward: 41.600000 | loss: 0.147889 | Best: 48.500000
Episode: 1850 | Steps: 4013143/10000000 | Avg reward: 38.500000 | loss: 0.154942 | Best: 48.500000
Episode: 1860 | Steps: 4033185/10000000 | Avg reward: 34.100000 | loss: 0.115160 | Best: 48.500000
Episode: 1870 | Steps: 4051158/10000000 | Avg reward: 37.700000 | loss: 0.170792 | Best: 48.500000
Episode: 1880 | Steps: 4069603/10000000 | Avg reward: 35.200000 | loss: 0.097717 | Best: 48.500000
Episode: 1890 | Steps: 4089169/10000000 | Avg reward: 32.000000 | loss: 0.198644 | Best: 48.500000
Episode: 1900 | Steps: 4105209/10000000 | Avg reward: 44.600000 | loss: 0.248122 | Best: 48.500000
Episode: 1910 | Steps: 4123153/10000000 | Avg reward: 38.700000 | loss: 0.121742 | Best: 48.500000
Episode: 1920 | Steps: 4143681/10000000 | Avg reward: 31.700000 | loss: 0.068783 | Best: 48.500000
Episode: 1930 | Steps: 4163002/10000000 | Avg reward: 35.800000 | loss: 0.193102 | Best: 48.500000
Episode: 1940 | Steps: 4183103/10000000 | Avg reward: 35.600000 | loss: 0.142927 | Best: 48.500000
Episode: 1950 | Steps: 4204650/10000000 | Avg reward: 34.400000 | loss: 0.200419 | Best: 48.500000
